,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,Out/Not_out,Match ID
0,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,3,6,0,0,50.00,Out,T20I # 1823
1,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,9,9,1,0,100.00,Out,T20I # 1823
2,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,Out,T20I # 1823
3,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,26,24,2,0,108.33,Out,T20I # 1823
4,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),20,24,0,0,83.33,Out,T20I # 1823
5,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,44,28,4,0,157.14,Out,T20I # 1823
6,Namibia Vs Sri Lanka,Namibia,7,David Wiese,0,1,0,0,0.00,Out,T20I # 1823
7,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,Not out,T20I # 1823
8,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90.00,Out,T20I # 1823
9,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendisâ€ ,6,6,0,0,100.00,Out,T20I # 1823
10,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,Out,T20I # 1823
11,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0.00,Out,T20I # 1823
12,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,Out,T20I # 1823
13,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),29,23,2,1,126.08,Out,T20I # 1823
14,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50.00,Out,T20I # 1823
15,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.50,Out,T20I # 1823
16,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,0,0,0,0,-,Out,T20I # 1823
17,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,8,15,0,0,53.33,Out,T20I # 1823
18,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,11,11,0,1,100.00,Not out,T20I # 1823
19,U.A.E. Vs Netherlands,U.A.E.,1,Chirag Suri,12,20,1,0,60.00,Out,T20I # 1825
20,U.A.E. Vs Netherlands,U.A.E.,2,Muhammad Waseem,41,47,1,2,87.23,Out,T20I # 1825
21,U.A.E. Vs Netherlands,U.A.E.,3,Kashif Daud,15,14,0,1,107.14,Out,T20I # 1825
22,U.A.E. Vs Netherlands,U.A.E.,4,Vriitya Aravindâ€ ,18,21,0,0,85.71,Out,T20I # 1825
23,U.A.E. Vs Netherlands,U.A.E.,5,Zawar Farid,2,4,0,0,50.00,Out,T20I # 1825
24,U.A.E. Vs Netherlands,U.A.E.,6,Basil Hameed,4,4,1,0,100.00,Out,T20I # 1825
25,U.A.E. Vs Netherlands,U.A.E.,7,Chundangapoyil Rizwan(c),1,2,0,0,50.00,Out,T20I # 1825
26,U.A.E. Vs Netherlands,U.A.E.,8,Aayan Afzal Khan,5,7,0,0,71.42,Out,T20I # 1825
27,U.A.E. Vs Netherlands,U.A.E.,9,Karthik Meiyappan,0,0,0,0,-,Not out,T20I # 1825
28,U.A.E. Vs Netherlands,U.A.E.,10,Junaid Siddique,0,1,0,0,0.00,Not out,T20I # 1825
29,U.A.E. Vs Netherlands,Netherlands,1,Vikramjit Singh,10,7,2,0,142.85,Out,T20I # 1825
30,U.A.E. Vs Netherlands,Netherlands,2,Max O'Dowd,23,18,3,1,127.77,Out,T20I # 1825
31,U.A.E. Vs Netherlands,Netherlands,3,Bas de Leede,14,18,1,0,77.77,Out,T20I # 1825
32,U.A.E. Vs Netherlands,Netherlands,4,Colin Ackermann,17,19,1,0,89.47,Out,T20I # 1825
33,U.A.E. Vs Netherlands,Netherlands,5,Tom Cooper,8,16,0,0,50.00,Out,T20I # 1825
34,U.A.E. Vs Netherlands,Netherlands,6,Scott Edwards(c)â€ ,16,19,0,0,84.21,Not out,T20I # 1825
35,U.A.E. Vs Netherlands,Netherlands,7,Roelof van der Merwe,0,2,0,0,0.00,Out,T20I # 1825
36,U.A.E. Vs Netherlands,Netherlands,8,Tim Pringle,15,16,0,0,93.75,Out,T20I # 1825
37,U.A.E. Vs Netherlands,Netherlands,9,Logan van Beek,4,4,0,0,100.00,Not out,T20I # 1825
38,Scotland Vs West Indies,Scotland,1,George Munsey,66,53,9,0,124.52,Not out,T20I # 1826
39,Scotland Vs West Indies,Scotland,2,Michael Jones,20,17,3,0,117.64,Out,T20I # 1826
40,Scotland Vs West Indies,Scotland,3,Matthew Crossâ€ ,3,5,0,0,60.00,Out,T20I # 1826
41,Scotland Vs West Indies,Scotland,4,Richie Berrington(c),16,14,0,1,114.28,Out,T20I # 1826
42,Scotland Vs West Indies,Scotland,5,Calum MacLeod,23,14,4,0,164.28,Out,T20I # 1826
43,Scotland Vs West Indies,Scotland,6,Michael Leask,4,6,0,0,66.66,Out,T20I # 1826
44,Scotland Vs West Indies,Scotland,7,Chris Greaves,16,11,2,0,145.45,Not out,T20I # 1826
45,Scotland Vs West Indies,West Indies,1,Kyle Mayers,20,13,3,1,153.84,Out,T20I # 1826
46,Scotland Vs West Indies,West Indies,2,Evin Lewis,14,13,1,1,107.69,Out,T20I # 1826
47,Scotland Vs West Indies,West Indies,3,Brandon King,17,15,3,0,113.33,Out,T20I # 1826
48,Scotland Vs West Indies,West Indies,4,Nicholas Pooran(c)â€ ,5,9,0,0,55.55,Out,T20I # 1826
49,Scotland Vs West Indies,West Indies,5,Shamarh Brooks,4,9,0,0,44.44,Out,T20I # 1826
50,Scotland Vs West Indies,West Indies,6,Rovman Powell,5,6,0,0,83.33,Out,T20I # 1826
51,Scotland Vs West Indies,West Indies,7,Jason Holder,38,33,4,1,115.15,Out,T20I # 1826
52,Scotland Vs West Indies,West Indies,8,Akeal Hosein,1,1,0,0,100.00,Out,T20I # 1826
53,Scotland Vs West Indies,West Indies,9,Alzarri Joseph,0,1,0,0,0.00,Out,T20I # 1826
54,Scotland Vs West Indies,West Indies,10,Odean Smith,5,8,0,0,62.50,Out,T20I # 1826
55,Scotland Vs West Indies,West Indies,11,Obed McCoy,2,3,0,0,66.66,Not out,T20I # 1826
56,Zimbabwe Vs Ireland,Zimbabwe,1,Regis Chakabvaâ€ ,0,2,0,0,0.00,Out,T20I # 1828
57,Zimbabwe Vs Ireland,Zimbabwe,2,Craig Ervine(c),9,12,1,0,75.00,Out,T20I # 1828
58,Zimbabwe Vs Ireland,Zimbabwe,3,Wessly Madhevere,22,19,4,0,115.78,Out,T20I # 1828
59,Zimbabwe Vs Ireland,Zimbabwe,4,Sean Williams,12,11,0,1,109.09,Out,T20I # 1828
60,Zimbabwe Vs Ireland,Zimbabwe,5,Sikandar Raza,82,48,5,5,170.83,Out,T20I # 1828
61,Zimbabwe Vs Ireland,Zimbabwe,6,Milton Shumba,16,14,1,0,114.28,Out,T20I # 1828
62,Zimbabwe Vs Ireland,Zimbabwe,7,Ryan Burl,1,4,0,0,25.00,Out,T20I # 1828
63,Zimbabwe Vs Ireland,Zimbabwe,8,Luke Jongwe,20,10,3,0,200.00,Not out,T20I # 1828
64,Zimbabwe Vs Ireland,Ireland,1,Paul Stirling,0,2,0,0,0.00,Out,T20I # 1828
65,Zimbabwe Vs Ireland,Ireland,2,Andy Balbirnie(c),3,4,0,0,75.00,Out,T20I # 1828
66,Zimbabwe Vs Ireland,Ireland,3,Lorcan Tuckerâ€ ,11,11,2,0,100.00,Out,T20I # 1828
67,Zimbabwe Vs Ireland,Ireland,4,Harry Tector,1,4,0,0,25.00,Out,T20I # 1828
68,Zimbabwe Vs Ireland,Ireland,5,Curtis Campher,27,22,1,0,122.72,Out,T20I # 1828
69,Zimbabwe Vs Ireland,Ireland,6,George Dockrell,24,20,3,0,120.00,Out,T20I # 1828
70,Zimbabwe Vs Ireland,Ireland,7,Gareth Delany,24,20,1,1,120.00,Out,T20I # 1828
71,Zimbabwe Vs Ireland,Ireland,8,Mark Adair,9,10,0,1,90.00,Out,T20I # 1828
72,Zimbabwe Vs Ireland,Ireland,9,Simi Singh,0,1,0,0,0.00,Out,T20I # 1828
73,Zimbabwe Vs Ireland,Ireland,10,Barry McCarthy,22,16,1,2,137.50,Not out,T20I # 1828
74,Zimbabwe Vs Ireland,Ireland,11,Josh Little,7,11,1,0,63.63,Not out,T20I # 1828
75,Namibia Vs Netherlands,Namibia,1,Michael van Lingen,20,19,3,0,105.26,Out,T20I # 1830
76,Namibia Vs Netherlands,Namibia,2,Divan la Cock,0,2,0,0,0.00,Out,T20I # 1830
77,Namibia Vs Netherlands,Namibia,3,Stephan Baard,19,22,0,0,86.36,Out,T20I # 1830
78,Namibia Vs Netherlands,Namibia,4,Jan Nicol Loftie-Eaton,0,2,0,0,0.00,Out,T20I # 1830
79,Namibia Vs Netherlands,Namibia,5,Jan Frylinck,43,48,1,1,89.58,Out,T20I # 1830
80,Namibia Vs Netherlands,Namibia,6,Gerhard Erasmus(c),16,18,0,0,88.88,Out,T20I # 1830
81,Namibia Vs Netherlands,Namibia,7,David Wiese,11,5,1,0,220.00,Not out,T20I # 1830
82,Namibia Vs Netherlands,Namibia,8,JJ Smit,5,4,1,0,125.00,Not out,T20I # 1830
83,Namibia Vs Netherlands,Netherlands,1,Max O'Dowd,35,35,1,1,100.00,Out,T20I # 1830
84,Namibia Vs Netherlands,Netherlands,2,Vikramjit Singh,39,31,3,2,125.80,Out,T20I # 1830
85,Namibia Vs Netherlands,Netherlands,3,Bas de Leede,30,30,2,0,100.00,Not out,T20I # 1830
86,Namibia Vs Netherlands,Netherlands,4,Tom Cooper,6,6,1,0,100.00,Out,T20I # 1830
87,Namibia Vs Netherlands,Netherlands,5,Colin Ackermann,0,2,0,0,0.00,Out,T20I # 1830
88,Namibia Vs Netherlands,Netherlands,6,Scott Edwards(c)â€ ,1,5,0,0,20.00,Out,T20I # 1830
89,Namibia Vs Netherlands,Netherlands,7,Tim Pringle,8,9,0,0,88.88,Not out,T20I # 1830
90,Sri Lanka Vs U.A.E.,Sri Lanka,1,Pathum Nissanka,74,60,6,2,123.33,Out,T20I # 1832
91,Sri Lanka Vs U.A.E.,Sri Lanka,2,Kusal Mendisâ€ ,18,13,2,0,138.46,Out,T20I # 1832
92,Sri Lanka Vs U.A.E.,Sri Lanka,3,Dhananjaya de Silva,33,21,3,1,157.14,Out,T20I # 1832
93,Sri Lanka Vs U.A.E.,Sri Lanka,4,Bhanuka Rajapaksa,5,8,0,0,62.50,Out,T20I # 1832
94,Sri Lanka Vs U.A.E.,Sri Lanka,5,Charith Asalanka,0,1,0,0,0.00,Out,T20I # 1832
95,Sri Lanka Vs U.A.E.,Sri Lanka,6,Dasun Shanaka(c),0,1,0,0,0.00,Out,T20I # 1832
96,Sri Lanka Vs U.A.E.,Sri Lanka,7,Wanindu Hasaranga de Silva,2,3,0,0,66.66,Out,T20I # 1832
97,Sri Lanka Vs U.A.E.,Sri Lanka,8,Chamika Karunaratne,8,11,1,0,72.72,Out,T20I # 1832
98,Sri Lanka Vs U.A.E.,Sri Lanka,9,Pramod Madushan,1,1,0,0,100.00,Not out,T20I # 1832
99,Sri Lanka Vs U.A.E.,Sri Lanka,10,Dushmantha Chameera,1,1,0,0,100.00,Not out,T20I # 1832
100,Sri Lanka Vs U.A.E.,U.A.E.,1,Muhammad Waseem,2,4,0,0,50.00,Out,T20I # 1832
101,Sri Lanka Vs U.A.E.,U.A.E.,2,Chirag Suri,14,19,3,0,73.68,Out,T20I # 1832
102,Sri Lanka Vs U.A.E.,U.A.E.,3,Aryan Lakra,1,3,0,0,33.33,Out,T20I # 1832
103,Sri Lanka Vs U.A.E.,U.A.E.,4,Chundangapoyil Rizwan(c),1,3,0,0,33.33,Out,T20I # 1832
104,Sri Lanka Vs U.A.E.,U.A.E.,5,Vriitya Aravindâ€ ,9,18,1,0,50.00,Out,T20I # 1832
105,Sri Lanka Vs U.A.E.,U.A.E.,6,Basil Hameed,2,6,0,0,33.33,Out,T20I # 1832
106,Sri Lanka Vs U.A.E.,U.A.E.,7,Aayan Afzal Khan,19,21,1,0,90.47,Out,T20I # 1832
107,Sri Lanka Vs U.A.E.,U.A.E.,8,Kashif Daud,0,4,0,0,0.00,Out,T20I # 1832
108,Sri Lanka Vs U.A.E.,U.A.E.,9,Karthik Meiyappan,4,8,0,0,50.00,Out,T20I # 1832
109,Sri Lanka Vs U.A.E.,U.A.E.,10,Junaid Siddique,18,16,1,1,112.50,Out,T20I # 1832
110,Sri Lanka Vs U.A.E.,U.A.E.,11,Zahoor Khan,1,1,0,0,100.00,Not out,T20I # 1832
111,Scotland Vs Ireland,Scotland,1,George Munsey,1,2,0,0,50.00,Out,T20I # 1833
112,Scotland Vs Ireland,Scotland,2,Michael Jones,86,55,6,4,156.36,Out,T20I # 1833
113,Scotland Vs Ireland,Scotland,3,Matthew Crossâ€ ,28,21,5,0,133.33,Out,T20I # 1833
114,Scotland Vs Ireland,Scotland,4,Richie Berrington(c),37,27,3,1,137.03,Out,T20I # 1833
115,Scotland Vs Ireland,Scotland,5,Michael Leask,17,13,2,0,130.76,Not out,T20I # 1833
116,Scotland Vs Ireland,Scotland,6,Calum MacLeod,0,3,0,0,0.00,Out,T20I # 1833
117,Scotland Vs Ireland,Ireland,1,Paul Stirling,8,10,1,0,80.00,Out,T20I # 1833
118,Scotland Vs Ireland,Ireland,2,Andy Balbirnie(c),14,12,2,0,116.66,Out,T20I # 1833
119,Scotland Vs Ireland,Ireland,3,Lorcan Tuckerâ€ ,20,17,2,0,117.64,Out,T20I # 1833
120,Scotland Vs Ireland,Ireland,4,Harry Tector,14,16,1,0,87.50,Out,T20I # 1833
121,Scotland Vs Ireland,Ireland,5,Curtis Campher,72,32,7,2,225.00,Not out,T20I # 1833
122,Scotland Vs Ireland,Ireland,6,George Dockrell,39,27,4,1,144.44,Not out,T20I # 1833
123,West Indies Vs Zimbabwe,West Indies,1,Kyle Mayers,13,12,2,0,108.33,Out,T20I # 1834
124,West Indies Vs Zimbabwe,West Indies,2,Johnson Charles,45,36,3,2,125.00,Out,T20I # 1834
125,West Indies Vs Zimbabwe,West Indies,3,Evin Lewis,15,18,1,0,83.33,Out,T20I # 1834
126,West Indies Vs Zimbabwe,West Indies,4,Nicholas Pooran(c)â€ ,7,9,0,0,77.77,Out,T20I # 1834
127,West Indies Vs Zimbabwe,West Indies,5,Rovman Powell,28,21,1,2,133.33,Out,T20I # 1834
128,West Indies Vs Zimbabwe,West Indies,6,Shamarh Brooks,0,3,0,0,0.00,Out,T20I # 1834
129,West Indies Vs Zimbabwe,West Indies,7,Jason Holder,4,3,0,0,133.33,Out,T20I # 1834
130,West Indies Vs Zimbabwe,West Indies,8,Akeal Hosein,23,18,2,0,127.77,Not out,T20I # 1834
131,West Indies Vs Zimbabwe,West Indies,9,Odean Smith,1,2,0,0,50.00,Not out,T20I # 1834
132,West Indies Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,27,19,3,1,142.10,Out,T20I # 1834
133,West Indies Vs Zimbabwe,Zimbabwe,2,Regis Chakabva(c)â€ ,13,9,3,0,144.44,Out,T20I # 1834
134,West Indies Vs Zimbabwe,Zimbabwe,3,Tony Munyonga,2,6,0,0,33.33,Out,T20I # 1834
135,West Indies Vs Zimbabwe,Zimbabwe,4,Sean Williams,1,2,0,0,50.00,Out,T20I # 1834
136,West Indies Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,14,8,1,1,175.00,Out,T20I # 1834
137,West Indies Vs Zimbabwe,Zimbabwe,6,Milton Shumba,2,9,0,0,22.22,Out,T20I # 1834
138,West Indies Vs Zimbabwe,Zimbabwe,7,Ryan Burl,17,19,3,0,89.47,Out,T20I # 1834
139,West Indies Vs Zimbabwe,Zimbabwe,8,Luke Jongwe,29,22,3,1,131.81,Out,T20I # 1834
140,West Indies Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,2,6,0,0,33.33,Out,T20I # 1834
141,West Indies Vs Zimbabwe,Zimbabwe,10,Tendai Chatara,3,8,0,0,37.50,Out,T20I # 1834
142,West Indies Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani,1,4,0,0,25.00,Not out,T20I # 1834
143,Sri Lanka Vs Netherlands,Sri Lanka,1,Pathum Nissanka,14,21,0,1,66.66,Out,T20I # 1835
144,Sri Lanka Vs Netherlands,Sri Lanka,2,Kusal Mendisâ€ ,79,44,5,5,179.54,Out,T20I # 1835
145,Sri Lanka Vs Netherlands,Sri Lanka,3,Dhananjaya de Silva,0,1,0,0,0.00,Out,T20I # 1835
146,Sri Lanka Vs Netherlands,Sri Lanka,4,Charith Asalanka,31,30,3,0,103.33,Out,T20I # 1835
147,Sri Lanka Vs Netherlands,Sri Lanka,5,Bhanuka Rajapaksa,19,13,2,0,146.15,Out,T20I # 1835
148,Sri Lanka Vs Netherlands,Sri Lanka,6,Dasun Shanaka(c),8,5,0,1,160.00,Out,T20I # 1835
149,Sri Lanka Vs Netherlands,Sri Lanka,7,Wanindu Hasaranga de Silva,5,4,0,0,125.00,Not out,T20I # 1835
150,Sri Lanka Vs Netherlands,Sri Lanka,8,Chamika Karunaratne,2,2,0,0,100.00,Not out,T20I # 1835
151,Sri Lanka Vs Netherlands,Netherlands,1,Max O'Dowd,71,53,6,3,133.96,Not out,T20I # 1835
152,Sri Lanka Vs Netherlands,Netherlands,2,Vikramjit Singh,7,14,0,0,50.00,Out,T20I # 1835
153,Sri Lanka Vs Netherlands,Netherlands,3,Bas de Leede,14,10,1,1,140.00,Out,T20I # 1835
154,Sri Lanka Vs Netherlands,Netherlands,4,Colin Ackermann,0,1,0,0,0.00,Out,T20I # 1835
155,Sri Lanka Vs Netherlands,Netherlands,5,Tom Cooper,16,19,2,0,84.21,Out,T20I # 1835
156,Sri Lanka Vs Netherlands,Netherlands,6,Scott Edwards(c)â€ ,21,15,3,0,140.00,Out,T20I # 1835
157,Sri Lanka Vs Netherlands,Netherlands,7,Tim Pringle,2,4,0,0,50.00,Out,T20I # 1835
158,Sri Lanka Vs Netherlands,Netherlands,8,Timm van der Gugten,0,1,0,0,0.00,Out,T20I # 1835
159,Sri Lanka Vs Netherlands,Netherlands,9,Fred Klaassen,3,3,0,0,100.00,Out,T20I # 1835
160,Sri Lanka Vs Netherlands,Netherlands,10,Paul van Meekeren,0,0,0,0,-,Out,T20I # 1835
161,Sri Lanka Vs Netherlands,Netherlands,11,Roelof van der Merwe,0,1,0,0,0.00,Not out,T20I # 1835
162,U.A.E. Vs Namibia,U.A.E.,1,Muhammad Waseem,50,41,1,3,121.95,Out,T20I # 1836
163,U.A.E. Vs Namibia,U.A.E.,2,Vriitya Aravindâ€ ,21,32,2,0,65.62,Out,T20I # 1836
164,U.A.E. Vs Namibia,U.A.E.,3,Chundangapoyil Rizwan(c),43,29,3,1,148.27,Not out,T20I # 1836
165,U.A.E. Vs Namibia,U.A.E.,4,Alishan Sharafu,4,4,0,0,100.00,Out,T20I # 1836
166,U.A.E. Vs Namibia,U.A.E.,5,Basil Hameed,25,14,2,2,178.57,Not out,T20I # 1836
167,U.A.E. Vs Namibia,Namibia,1,Michael van Lingen,10,8,1,0,125.00,Out,T20I # 1836
168,U.A.E. Vs Namibia,Namibia,2,Stephan Baard,4,6,1,0,66.66,Out,T20I # 1836
169,U.A.E. Vs Namibia,Namibia,3,Jan Nicol Loftie-Eaton,1,6,0,0,16.66,Out,T20I # 1836
170,U.A.E. Vs Namibia,Namibia,4,Gerhard Erasmus(c),16,18,2,0,88.88,Out,T20I # 1836
171,U.A.E. Vs Namibia,Namibia,5,Jan Frylinck,14,17,1,0,82.35,Out,T20I # 1836
172,U.A.E. Vs Namibia,Namibia,6,JJ Smit,3,3,0,0,100.00,Out,T20I # 1836
173,U.A.E. Vs Namibia,Namibia,7,David Wiese,55,36,3,3,152.77,Out,T20I # 1836
174,U.A.E. Vs Namibia,Namibia,8,Zane Greenâ€ ,2,3,0,0,66.66,Out,T20I # 1836
175,U.A.E. Vs Namibia,Namibia,9,Ruben Trumpelmann,25,24,1,1,104.16,Not out,T20I # 1836
176,U.A.E. Vs Namibia,Namibia,10,Bernard Scholtz,1,1,0,0,100.00,Not out,T20I # 1836
177,West Indies Vs Ireland,West Indies,1,Kyle Mayers,1,5,0,0,20.00,Out,T20I # 1837
178,West Indies Vs Ireland,West Indies,2,Johnson Charles,24,18,3,1,133.33,Out,T20I # 1837
179,West Indies Vs Ireland,West Indies,3,Evin Lewis,13,18,0,0,72.22,Out,T20I # 1837
180,West Indies Vs Ireland,West Indies,4,Brandon King,62,48,6,1,129.16,Not out,T20I # 1837
181,West Indies Vs Ireland,West Indies,5,Nicholas Pooran(c)â€ ,13,11,0,1,118.18,Out,T20I # 1837
182,West Indies Vs Ireland,West Indies,6,Rovman Powell,6,8,1,0,75.00,Out,T20I # 1837
183,West Indies Vs Ireland,West Indies,7,Odean Smith,19,12,1,2,158.33,Not out,T20I # 1837
184,West Indies Vs Ireland,Ireland,1,Paul Stirling,66,48,6,2,137.50,Not out,T20I # 1837
185,West Indies Vs Ireland,Ireland,2,Andy Balbirnie(c),37,23,3,3,160.86,Out,T20I # 1837
186,West Indies Vs Ireland,Ireland,3,Lorcan Tuckerâ€ ,45,35,2,2,128.57,Not out,T20I # 1837
187,Scotland Vs Zimbabwe,Scotland,1,George Munsey,54,51,7,0,105.88,Out,T20I # 1838
188,Scotland Vs Zimbabwe,Scotland,2,Michael Jones,4,5,1,0,80.00,Out,T20I # 1838
189,Scotland Vs Zimbabwe,Scotland,3,Matthew Crossâ€ ,1,7,0,0,14.28,Out,T20I # 1838
190,Scotland Vs Zimbabwe,Scotland,4,Richie Berrington(c),13,15,0,0,86.66,Out,T20I # 1838
191,Scotland Vs Zimbabwe,Scotland,5,Calum MacLeod,25,26,1,0,96.15,Out,T20I # 1838
192,Scotland Vs Zimbabwe,Scotland,6,Michael Leask,12,9,2,0,133.33,Out,T20I # 1838
193,Scotland Vs Zimbabwe,Scotland,7,Chris Greaves,3,7,0,0,42.85,Not out,T20I # 1838
194,Scotland Vs Zimbabwe,Scotland,8,Josh Davey,4,3,0,0,133.33,Not out,T20I # 1838
195,Scotland Vs Zimbabwe,Zimbabwe,1,Regis Chakabvaâ€ ,4,3,1,0,133.33,Out,T20I # 1838
196,Scotland Vs Zimbabwe,Zimbabwe,2,Craig Ervine(c),58,54,6,0,107.40,Out,T20I # 1838
197,Scotland Vs Zimbabwe,Zimbabwe,3,Wessly Madhevere,0,5,0,0,0.00,Out,T20I # 1838
198,Scotland Vs Zimbabwe,Zimbabwe,4,Sean Williams,7,12,0,0,58.33,Out,T20I # 1838
199,Scotland Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,40,23,3,2,173.91,Out,T20I # 1838
200,Scotland Vs Zimbabwe,Zimbabwe,6,Milton Shumba,11,11,0,0,100.00,Not out,T20I # 1838
201,Scotland Vs Zimbabwe,Zimbabwe,7,Ryan Burl,9,5,1,0,180.00,Not out,T20I # 1838
202,New Zealand Vs Australia,New Zealand,1,Finn Allen,42,16,5,3,262.50,Out,T20I # 1839
203,New Zealand Vs Australia,New Zealand,2,Devon Conwayâ€ ,92,58,7,2,158.62,Not out,T20I # 1839
204,New Zealand Vs Australia,New Zealand,3,Kane Williamson(c),23,23,1,1,100.00,Out,T20I # 1839
205,New Zealand Vs Australia,New Zealand,4,Glenn Phillips,12,10,2,0,120.00,Out,T20I # 1839
206,New Zealand Vs Australia,New Zealand,5,James Neesham,26,13,0,2,200.00,Not out,T20I # 1839
207,New Zealand Vs Australia,Australia,1,David Warner,5,6,1,0,83.33,Out,T20I # 1839
208,New Zealand Vs Australia,Australia,2,Aaron Finch(c),13,11,1,1,118.18,Out,T20I # 1839
209,New Zealand Vs Australia,Australia,3,Mitchell Marsh,16,12,2,1,133.33,Out,T20I # 1839
210,New Zealand Vs Australia,Australia,4,Glenn Maxwell,28,20,3,1,140.00,Out,T20I # 1839
211,New Zealand Vs Australia,Australia,5,Marcus Stoinis,7,14,0,0,50.00,Out,T20I # 1839
212,New Zealand Vs Australia,Australia,6,Tim David,11,8,0,1,137.50,Out,T20I # 1839
213,New Zealand Vs Australia,Australia,7,Matthew Wadeâ€ ,2,4,0,0,50.00,Out,T20I # 1839
214,New Zealand Vs Australia,Australia,8,Pat Cummins,21,18,2,1,116.66,Out,T20I # 1839
215,New Zealand Vs Australia,Australia,9,Mitchell Starc,4,7,0,0,57.14,Out,T20I # 1839
216,New Zealand Vs Australia,Australia,10,Adam Zampa,0,2,0,0,0.00,Out,T20I # 1839
217,New Zealand Vs Australia,Australia,11,Josh Hazlewood,1,1,0,0,100.00,Not out,T20I # 1839
218,Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,7,17,1,0,41.17,Out,T20I # 1840
219,Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbazâ€ ,10,9,0,1,111.11,Out,T20I # 1840
220,Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran,32,32,3,1,100.00,Out,T20I # 1840
221,Afghanistan Vs England,Afghanistan,4,Usman Ghani,30,30,3,0,100.00,Out,T20I # 1840
222,Afghanistan Vs England,Afghanistan,5,Najibullah Zadran,13,11,0,1,118.18,Out,T20I # 1840
223,Afghanistan Vs England,Afghanistan,6,Mohammad Nabi(c),3,5,0,0,60.00,Out,T20I # 1840
224,Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai,8,6,1,0,133.33,Out,T20I # 1840
225,Afghanistan Vs England,Afghanistan,8,Rashid Khan,0,1,0,0,0.00,Out,T20I # 1840
226,Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,0,1,0,0,0.00,Out,T20I # 1840
227,Afghanistan Vs England,Afghanistan,10,Fareed Ahmad,2,4,0,0,50.00,Not out,T20I # 1840
228,Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,0,2,0,0,0.00,Out,T20I # 1840
229,Afghanistan Vs England,England,1,Jos Buttler(c)â€ ,18,18,3,0,100.00,Out,T20I # 1840
230,Afghanistan Vs England,England,2,Alex Hales,19,20,0,1,95.00,Out,T20I # 1840
231,Afghanistan Vs England,England,3,Dawid Malan,18,30,0,0,60.00,Out,T20I # 1840
232,Afghanistan Vs England,England,4,Ben Stokes,2,4,0,0,50.00,Out,T20I # 1840
